"","UF","Capital","area","tipoArea","peso","idad","sexo","raca","nvlMaisElevado","anosEst","posTrab","posOcup","rendOcup","grupPosOcup","ocup","classeOcup1","classeOcup2","ln_rendOcup"
"310",11,11,1,1,59.25753256,70,"M","Parda ",1,0,1,1,1100,9,5221,4,5,7.00306545878646
"312",11,11,1,1,139.00354658,28,"M","Parda ",7,16,1,1,1200,9,3339,7,3,7.09007683577609
"313",11,11,1,1,84.61050947,43,"M","Parda ",7,14,1,1,4500,7,412,8,10,8.41183267575841
"314",11,11,1,1,84.61050947,39,"F","Branca",5,12,1,1,5500,7,5419,8,5,8.61250337122056
"318",11,11,1,1,116.77749683,53,"M","Branca",7,16,1,1,5000,7,3355,8,3,8.51719319141624
"319",11,11,1,1,116.77749683,49,"F","Branca",7,16,1,1,2000,8,2411,7,2,7.60090245954208
"320",11,11,1,1,116.77749683,25,"M","Branca",7,16,1,1,1100,1,4110,7,4,7.00306545878646
"321",11,11,1,1,103.69299843,46,"M","Preta",5,12,1,1,3000,9,5249,4,5,8.00636756765025
"323",11,11,1,1,103.69299843,53,"M","Parda ",2,3,1,1,2500,9,7231,4,7,7.82404601085629
"324",11,11,1,1,95.05361388,67,"M","Parda ",5,12,1,1,3000,8,1321,2,1,8.00636756765025
"325",11,11,1,1,113.19664442,39,"F","Parda ",6,16,1,1,1212,3,9111,11,9,7.10002716662926
"326",11,11,1,1,113.19664442,41,"M","Branca",5,12,1,1,3500,9,3334,7,3,8.1605182474775
"330",11,11,1,1,115.24263096,54,"M","Branca",2,6,1,1,1221,1,7212,2,7,7.1074254741107
"331",11,11,1,1,115.24263096,34,"M","Branca",5,12,1,1,1221,1,7212,2,7,7.1074254741107
"332",11,11,1,1,82.18922089,70,"F","Branca",2,6,1,1,10000,8,5221,6,5,9.21034037197618
"333",11,11,1,1,277.69706352,27,"F","Parda ",1,0,1,1,500,9,5142,10,5,6.21460809842219
"334",11,11,1,1,277.69706352,39,"M","Parda ",1,0,1,1,1200,9,5142,7,5,7.09007683577609
"339",11,11,1,1,191.05472917,47,"M","Branca",7,16,1,1,2000,1,4110,7,4,7.60090245954208
"340",11,11,1,1,191.05472917,40,"M","Branca",5,12,1,1,2000,1,4110,4,4,7.60090245954208
"341",11,11,1,1,191.05472917,22,"F","Branca",6,14,1,1,2000,7,4110,8,4,7.60090245954208
"343",11,11,1,1,210.49303052,61,"M","Branca",5,12,1,1,4000,8,1345,9,1,8.29404964010203
"344",11,11,1,1,210.49303052,54,"F","Branca",7,16,1,1,1100,8,5165,9,5,7.00306545878646
"345",11,11,1,1,210.49303052,31,"M","Branca",7,16,1,1,2000,1,5165,9,5,7.60090245954208
"346",11,11,1,1,210.49303052,24,"F","Branca",7,16,1,1,3000,6,2211,9,2,8.00636756765025
"347",11,11,1,1,183.22544305,37,"F","Parda ",7,16,1,1,6000,1,1221,4,1,8.69951474821019
"348",11,11,1,1,168.64972718,40,"M","Parda ",7,14,1,1,3000,9,2411,7,2,8.00636756765025
"350",11,11,1,1,168.64972718,66,"F","Parda ",7,16,1,1,2200,7,2341,9,2,7.69621263934641
"351",11,11,1,1,112.7020341,42,"M","Branca",2,7,1,1,800,9,7231,4,7,6.68461172766793
"354",11,11,1,1,135.77967201,33,"F","Parda ",6,15,1,1,1200,1,1221,4,1,7.09007683577609
"356",11,11,1,1,135.77967201,49,"F","Branca",5,12,1,1,800,9,5131,6,5,6.68461172766793
"357",11,11,1,1,115.8005174,46,"F","Parda ",2,1,1,1,1200,4,9111,11,9,7.09007683577609
"358",11,11,1,1,115.8005174,50,"M","Parda ",5,12,1,1,1200,1,5414,7,5,7.09007683577609
"362",11,11,1,1,177.08961462,21,"F","Branca",5,12,1,1,1500,8,5221,4,5,7.3132203870903
"363",11,11,1,1,177.08961462,28,"M","Branca",5,12,1,1,1500,8,5221,4,5,7.3132203870903
"366",11,11,1,1,157.85886883,37,"M","Parda ",5,12,1,1,1700,1,9329,2,9,7.43838353004431
"367",11,11,1,1,157.85886883,34,"F","Parda ",7,16,1,1,3500,7,4110,9,4,8.1605182474775
"371",11,11,1,1,214.42430129,25,"M","Parda ",2,7,1,1,1500,9,7123,2,7,7.3132203870903
"376",11,11,1,1,103.70097232,33,"F","Branca",7,16,1,1,3800,7,2341,9,2,8.24275634571448
"377",11,11,1,1,183.26510626,45,"F","Preta",5,12,1,1,2500,4,5322,11,5,7.82404601085629
"378",11,11,1,1,183.26510626,52,"M","Branca",7,16,1,1,5000,2,2634,9,2,8.51719319141624
"381",11,11,1,1,229.48901327,54,"M","Parda ",7,16,1,1,10000,9,6121,1,6,9.21034037197618
"382",11,11,1,1,229.48901327,36,"F","Parda ",7,16,1,1,4000,1,1420,4,1,8.29404964010203
"384",11,11,1,1,229.48901327,21,"F","Parda ",6,15,1,1,1100,1,4110,4,4,7.00306545878646
"387",11,11,1,1,208.50462487,48,"F","Parda ",2,6,1,1,600,9,5243,6,5,6.39692965521615
"388",11,11,1,1,208.50462487,21,"M","Preta",6,15,1,1,1221,1,9334,4,9,7.1074254741107
"391",11,11,1,1,175.5895255,64,"M","Branca",7,16,1,1,5000,8,2250,7,2,8.51719319141624
"392",11,11,1,1,175.5895255,52,"F","Branca",7,16,1,1,5000,8,5221,4,5,8.51719319141624
"393",11,11,1,1,175.5895255,23,"F","Branca",6,14,1,1,200,9,5243,4,5,5.29831736654804
"396",11,11,1,1,196.17077142,42,"F","Preta",2,4,1,1,1300,3,9111,11,9,7.17011954344963
"400",11,11,1,1,291.31962058,23,"M","Preta",6,15,1,1,2100,1,2431,4,2,7.64969262371151
"401",11,11,1,1,291.31962058,21,"M","Preta",6,15,1,1,1500,1,2431,9,2,7.3132203870903
"402",11,11,1,1,173.29469343,73,"M","Branca",2,6,1,1,2000,8,6111,1,6,7.60090245954208
"403",11,11,1,1,173.29469343,70,"F","Parda ",3,9,1,1,2000,8,9211,1,9,7.60090245954208
"404",11,11,1,1,173.29469343,42,"F","Parda ",7,16,1,1,10000,9,2264,9,2,9.21034037197618
"405",11,11,1,1,173.29469343,19,"M","Parda ",6,13,1,1,1500,2,4110,4,4,7.3132203870903
"408",11,11,1,1,264.68478485,30,"M","Branca",7,14,1,1,6000,7,3411,8,3,8.69951474821019
"410",11,11,1,1,230.66487168,57,"F","Parda ",2,5,1,1,1212,4,9111,11,9,7.10002716662926
"411",11,11,1,1,230.66487168,39,"M","Branca",5,12,1,1,1212,9,7131,3,7,7.10002716662926
"412",11,11,1,1,230.66487168,34,"M","Branca",5,12,1,1,1212,9,3115,3,3,7.10002716662926
"419",11,11,1,1,125.34370671,42,"F","Branca",7,16,1,1,4500,7,5413,8,5,8.41183267575841
"421",11,11,1,1,154.16281097,39,"F","Parda ",5,12,1,1,4500,7,412,8,10,8.41183267575841
"422",11,11,1,1,154.16281097,45,"M","Parda ",5,12,1,1,4500,7,412,8,10,8.41183267575841
"427",11,11,1,1,181.43072555,27,"M","Parda ",7,16,1,1,3600,7,412,8,10,8.1886891244442
"428",11,11,1,1,181.43072555,26,"F","Branca",7,16,1,1,1700,1,5414,7,5,7.43838353004431
"429",11,11,1,1,127.77881582,50,"M","Parda ",5,12,1,1,3000,2,7512,4,7,8.00636756765025
