"","Escola","ID_ESCOLA","id_municipio","rede","n_alunos","IEE","anos_escolares","ideb","MEDIA_MT_SAEB_2019","MEDIA_LP_SAEB_2019","MEDIA_CN_SAEB_2019","MEDIA_CH_SAEB_2019","NSE10","p_SE","p_brancos","me_educMae","Latitude","Longitude"
"159","MARIO KOZEL FILHO",35002859,3550308,"estadual",197,0.83,"finais (6-9)",4.5,260.17,261.9,NA,NA,5.28,0.06,0.23,8.57,-23.4925828,-46.407835
"160","RAUL PILLA DEPUTADO",35002884,3550308,"estadual",131,0.75,"finais (6-9)",6.5,295.92,296.53,NA,NA,5.31,0.15,0.35,10.77,-23.494198,-46.4569947
"161","CARLOS GOMES",35002902,3550308,"estadual",223,0.67,"finais (6-9)",5.5,274.21,277.87,NA,NA,5.92,0.09,0.35,11,-23.4981663,-46.444132
"162","ARMANDO GOMES DE ARAUJO PROF",35002926,3550308,"estadual",104,0.67,"finais (6-9)",5.1,254.01,265.71,NA,NA,5.65,0.07,0.33,9.86,-23.5035352,-46.4007931
"163","MANOEL DE NOBREGA DEPUTADO",35002951,3550308,"estadual",75,0.83,"finais (6-9)",6,282.77,280.63,NA,NA,5.83,0.25,0.33,10.59,-23.5071043,-46.4399841
"164","JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF",35002963,3550308,"estadual",144,0.67,"finais (6-9)",5.1,249.48,257.99,NA,NA,5.24,0.03,0.32,9.49,-23.479647,-46.3847834
"165","MARIO REYS COMENDADOR",35002975,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.47,NA,NA,NA,-23.5284056,-46.4370449
"166","SHINQUICHI AGARI",35002999,3550308,"estadual",110,0.67,"finais (6-9)",4.6,239.42,247.02,NA,NA,5.72,0.06,0.29,11.17,-23.5013065,-46.4214601
"167","DARIO DE QUEIROZ PROF",35003001,3550308,"estadual",34,0.92,"finais (6-9)",4.9,256.12,265.74,NA,NA,5.54,0.06,0.26,10.53,-23.4947312,-46.4332505
"168","ATAULPHO ALVES",35003037,3550308,"estadual",40,0.67,"finais (6-9)",5.6,260.63,279.96,NA,NA,5.7,0.1,0.32,11.2,-23.5025683333333,-46.4351833333333
"169","ELIZA RAQUEL MACEDO DE SOUZA PROFA",35003050,3550308,"estadual",125,0.67,"finais (6-9)",5.1,253.19,258.39,NA,NA,5.32,0.05,0.27,9,-23.5347121,-46.4115382
"170","EMILIA DE PAIVA MEIRA PROFESSORA",35003062,3550308,"estadual",212,1,"finais (6-9)",5.1,259.09,260.47,NA,NA,5.86,0.1,0.33,11.59,-23.5410645,-46.454473
"171","HELENA LOMBARDI BRAGA PROFESSORA",35003086,3550308,"estadual",148,0.67,"finais (6-9)",5.1,254.48,257.63,NA,NA,5.47,0.07,0.33,10.32,-23.5266316,-46.4526737
"172","CIDADE DE HIROSHIMA",35003104,3550308,"estadual",183,0.92,"finais (6-9)",4.7,252.11,255.5,NA,NA,5.78,0.07,0.32,9.98,-23.5681526,-46.4693974
"173","APPARECIDA RAHAL PROFESSORA",35003116,3550308,"estadual",NA,0.92,"finais (6-9)",NA,NA,NA,NA,NA,5.6,NA,NA,NA,-23.54975,-46.45539
"174","DECIO FERRAZ ALVIM PROFESSOR DOUTOR",35003128,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5.23,NA,NA,NA,-23.6207,-46.46302
"175","LUIZ ROSANOVA PROFESSOR",35003141,3550308,"estadual",140,0.67,"finais (6-9)",5.3,255.71,263.84,NA,NA,5.44,0.04,0.35,9.73,-23.5597125,-46.4038964
"176","LUZIA DE QUEIROZ E OLIVEIRA PROFA",35003153,3550308,"estadual",62,0.92,"finais (6-9)",5.5,263.25,269.6,NA,NA,5.53,0.06,0.32,10.14,-23.5531436,-46.4714726
"177","ALCIDES BOSCOLO PROFESSOR",35003177,3550308,"estadual",NA,NA,"finais (6-9)",NA,NA,NA,NA,NA,5.11,NA,NA,NA,-23.63046401,-46.44351318
"178","MILTON CRUZEIRO PROFESSOR",35003220,3550308,"estadual",269,0.83,"finais (6-9)",4.7,253.64,259.01,NA,NA,5.5,0.05,0.25,8.98,-23.5355419,-46.4675919
"179","ADELINO JOSE DA SILVA D AZEVEDO PROF",35003232,3550308,"estadual",67,0.92,"finais (6-9)",5.2,253.82,266,NA,NA,5.5,0.09,0.39,10.71,-23.6206425,-46.4795118
"180","ADHEMAR ANTONIO PRADO PROFESSOR",35003244,3550308,"estadual",141,0.75,"finais (6-9)",4.6,256.95,250.64,NA,NA,5.45,0.03,0.26,9.33,-23.61707,-46.47004
"181","PEDRO TAQUES",35003256,3550308,"estadual",76,0.67,"finais (6-9)",4.7,264,263.7,NA,NA,5.46,0.12,0.33,13,-23.545074,-46.4142855
"182","SEBASTIAO FARIA ZIMBRES PROFESSOR",35003268,3550308,"estadual",150,0.75,"finais (6-9)",4.5,240.39,246.18,NA,NA,5.26,0.06,0.21,9.34,-23.55282,-46.40896
"183","SAO JOAO EVANGELISTA",35003273,3550308,"estadual",112,0.83,"finais (6-9)",5.3,263.33,263.99,NA,NA,5.51,0.04,0.37,10.17,-23.6010053,-46.4638535
"184","ROMEU DE MORAES",35003372,3550308,"estadual",80,0.83,"finais (6-9)",4.8,254.9,257.43,NA,NA,5.93,0.04,0.35,8.25,-23.53133526,-46.70411961
"185","ANHANGUERA",35003384,3550308,"estadual",36,0.83,"finais (6-9)",5.2,248.08,269.61,NA,NA,5.88,0.03,0.19,11.43,-23.5219783,-46.7054821
"186","CANUTO DO VAL",35003426,3550308,"estadual",74,0.83,"finais (6-9)",5.3,264.84,268.62,NA,NA,5.45,0.08,0.24,9.13,-23.5206021,-46.656871
"187","JOAO KOPKE",35003451,3550308,"estadual",NA,0.83,"finais (6-9)",NA,NA,NA,NA,NA,5,NA,NA,NA,-23.5322419,-46.6420806
